Rank,Name,Wealth (in $1B USD),Country Headquartered,Company,Industry
317,Quek Leng Chan,5.2,Malaysia,Hong Leong Bank,Financial Services
318,Dan Sten Olsson,5.1,Sweden,Stena Sphere,conglomerate
319,Eva Gonda Rivera,5.1,Mexico,FEMSA,Food & Beverages
320,Finn Rausing,5.1,United Kingdom,Tetra Pak,Packaging
321,Heinz Hermann Thiele,5.1,Germany,Knorr-Bremse,Automobiles & Auto Components
322,Kirsten Rausing,5.1,Sweden,Tetra Pak,Packaging
323,Liu Yiqian,5.1,China,Sunline,Investments
324,Margarita Louis Dreyfus,5.1,Switzerland,Louis-Dreyfus,Agriculture
325,Richard Branson,5.1,United Kingdom,Virgin,Entertainment
326,Subhash Chandra,5.1,India,Zee,Media
327,Ted Lerner,5.1,United States,Lerner Enterprise,Real Estate
328,Walter Faria,5.1,Brazil,Petropolis,Food & Beverages
329,Wang Yusuo、Zhao Baoju,5.1,China,ENN,"Gas, energy"
330,Wolfgang Marguerre,5.1,Germany,Octapharma,Pharmaceuticals
331,Zhou Jianping,5.1,China,Hailan,Textiles
332,Dennis Washington,5,United States,Seaspan,Construction
333,Frederik Paulson,5,Switzerland,Ferring Pharmaceuticals,Pharmaceuticals
334,Gustaf Douglas,5,Sweden,Investment Ab Latour,Investments
335,Kirk Kristiansen,5,Denmark,Lego,Manufacturing
336,Liang Wengen,5,China,Sany,Heavy Industry
337,Luis Carlos Sarmiento,5,Colombia,Aval,Banking
338,Philippe Stern,5,Switzerland,Patek Philippe,Luxury
339,Richard LeFrak,5,United States,Lefrak Organization,Real Estate
340,Steve Bisciotti,5,United States,Allegis Group,Sports
341,Vikram Lal,5,India,Eicher Motors,Automobiles & Auto Components
342,Andrew Forrest,4.9,Australia,Fortescue Metals,Mining
343,Bidzina Ivanishvili,4.9,Georgia,Rossiyskiy Kredit Bank,Investments
344,Bobby Murphy,4.9,United States,Snapchat,Technology
345,Chen Jianhua、Fan Hongwei,4.9,China,Wujiang Henli Chemical Fibre,Textiles
346,Chung Mong-Koo,4.9,South Korea,Hyundai,Automobiles & Auto Components
347,Evan Spiegel,4.9,United States,Snapchat,Technology
348,Heinrich Deichmann,4.9,Germany,Deichmann,Footwear Retail
349,Jean-Michel Besnier,4.9,France,Lactalis,Food & Beverages
350,Marie Besnier Beauvalot,4.9,France,Lactalis,Food & Beverages
351,Nie Tengyun、Chen Liying,4.9,China,Yunda,Express delivery
352,Sulaiman Al Rajhi,4.9,Saudi Arabia,Al Rajhi Banking And Investment,Banking
353,Sun Guangxin,4.9,China,Guanghui,"Car sales, energy, real estate"
354,Alexei Kuzmichev,4.8,Russia,Alfa,Energy
355,Gianfelice Mario Rocca,4.8,Argentina,Techint,Manufacturing
356,Hoang Kieu,4.8,United States,RAAS Blood Products,Pharmaceuticals
357,Ivan Glasenberg,4.8,Switzerland,Glencore International,Commodities
358,Kwon Hyuk-Bin,4.8,South Korea,Smilegate,Online Games
359,Leandro Rizzuto,4.8,United States,Conair,Multi Brand Retailing
360,Michael Stoschek,4.8,Germany,Brose Group,Automobiles & Auto Components
361,Paolo Mario Rocca,4.8,Argentina,Techint,Manufacturing
362,Ricardo Salinas Pliego,4.8,Mexico,Elekta,Multi Brand Retailing
363,Richard DeVos,4.8,United States,Amway,Single Brand Retailing
364,Tom & Judy Love,4.8,United States,Love's Travel Stops & Country Stores,Multi Brand Retailing
365,Charles Johnson,4.7,United States,Franklin Resources,Investments
366,Christy Walton,4.7,United States,Walmart,Multi Brand Retailing
367,David Sun,4.7,United States,Kingston Technology,Technology
368,Georges Nickolas Hayek Jr,4.7,Switzerland,Swatch,Luxury
369,Joao Roberto Marinho,4.7,Brazil,Rede Globo,Media
370,John Tu,4.7,United States,Kingston Technology,Technology
371,Jose Roberto Marinho,4.7,Brazil,Rede Globo,Media
372,Mitchell Rales,4.7,United States,Danaher,Manufacturing
373,Roberto Irineu Marinho,4.7,Brazil,Rede Globo,Media
374,Rupert Johnson Jr,4.7,United States,Franklin Resources,Investments
375,Teh Hong Piow,4.7,Malaysia,Public Bank,Banking
376,Theo Mueller,4.7,Germany,Theo Muller Group,Food & Beverages
377,Ajay Piramal,4.6,India,Piramal Enterprise,Pharmaceuticals
378,Brian Acton,4.6,United States,WhatsApp,Technology
379,Charles Dolan,4.6,United States,Amc Network,Sports
380,David Gottesman,4.6,United States,Berkshire Hathaway,Investments
381,David Shaw,4.6,United States,DE Shaw,Hedge Funds
382,Gunther Fielmann,4.6,Germany,Fielmann,Multi Brand Retailing
383,Isolde Liebherr,4.6,Switzerland,Liebherr,Manufacturing
384,Jerry Jones,4.6,United States,Cowboy,Sports
385,Ji Changqun,4.6,China,Fullshare,Real Estate
386,John L Morris,4.6,United States,Bass Pro Shops,Multi Brand Retailing
387,Lin Li,4.6,China,Liye,"Finance, Investments"
388,Micky Jagtiani,4.6,United Arab Emirates,Landmark,Multi Brand Retailing
389,Mohammed Alaouite VI,4.6,Morocco,Societe National D'Investissement,Banking
390,Mohammed Bin Saud Al Kabeer,4.6,Saudi Arabia,Almarai,Food & Beverages
391,Ray Lee Hunt,4.6,United States,Hunt Oil Company,Energy
392,Savitri Jindal,4.6,India,JSW Steel,Metals & Mining
393,Willi Liebherr,4.6,Switzerland,Liebherr,Manufacturing
394,Wu Yajun,4.6,China,Longfor,Real Estate
395,Daniel Ziff,4.5,United States,Oach Ziff Capital Management,Investments
396,Dirk Ziff,4.5,United States,Oach Ziff Capital Management,Investments
397,Donald Trump,4.5,United States,Trump Entertainment Resorts,Real Estate
398,Katsuhito Yamauchi,4.5,Japan,Nintendo,Entertainment
399,Lisa K Simmons & Serena Simmons,4.5,United States,Valhi,Chemicals & Petrochemicals
400,Reinhold Schmieding ,4.5,United States,Arthex,Medical devices
401,Robert Ziff,4.5,United States,Oach Ziff Capital Management,Investments
402,Sergei Popov,4.5,Russia,Suek,Energy
403,Shigenobu Nagamori,4.5,Japan,Nidec Oration,Electronics
404,Victor Gradin,4.5,Brazil,Odebrecht,Energy
405,Zhang Yin,4.5,China,Nine Dragons Paper,Paper & Packaging
406,Andrew、Peggy Cherng,4.4,United States,Chain Panda,Hospitality
407,Bruno Schroder,4.4,United Kingdom,Schroders,Banking
408,Daniel Servitje Montull,4.4,Mexico,Bimboa Mexico,Food processing (bakery)
409,David Green,4.4,United States,Hobby Lobby,Multi Brand Retailing
410,Doug Meijer,4.4,United States,Meijer Supermarket,Multi Brand Retailing
411,Eli Broad,4.4,United States,AIG,Investments
412,Han Chang-Woo,4.4,Japan,Maruhan,Entertainment
413,Hank Meijer,4.4,United States,Meijer Supermarket,Multi Brand Retailing
414,Hazel Czernin,4.4,United Kingdom,The Howard De Walden Estate,Real Estate
415,Jiang Nanchun,4.4,China,FocusMedia,TMT
416,Robert Kraft,4.4,United States,Kraft,Sports
417,Steven Rales,4.4,United States,Danaher,Manufacturing
418,Tamara Gustavson,4.4,United States,Public Storage,Real Estate
419,Thomas Schmidheiny,4.4,Switzerland,Holcim,Cement
420,Zhou Xiaoguang、Yu Yunxin,4.4,China,Xinguang,Luxury
